new_header	new_type	legacy_type	file	line	matched_pattern	text
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	291	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value parsed_value{};
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/app/shared/config_overrides.cpp	293	\b(?:karma::)?common::serialization::Value\b	parsed_value = karma::common::serialization::Value::parse(std::string(value_text));
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/archive.cpp	274	\b(?:karma::)?common::serialization::Value\b	std::optional<karma::common::serialization::Value> ReadWorldJsonFile(const fs::path& path) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/archive.cpp	285	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value data;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/archive.hpp	13	\b(?:karma::)?common::serialization::Value\b	std::optional<karma::common::serialization::Value> ReadWorldJsonFile(const std::filesystem::path& path);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/catalog.cpp	18	\b(?:karma::)?common::serialization::Value\b	void AssetCatalog::mergeFromJson(const karma::common::serialization::Value& assets_json,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/catalog.cpp	50	\b(?:karma::)?common::serialization::Value\b	void WorldContent::mergeLayer(const karma::common::serialization::Value& layer_json,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/catalog.cpp	71	\b(?:karma::)?common::serialization::Value\b	const std::optional<karma::common::serialization::Value>& world_config,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/content/catalog.cpp	88	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value merged_config = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/tests/config_store_named_api_test.cpp	61	\b(?:karma::)?common::serialization::Value\b	bool ExpectInt(const std::optional<karma::common::serialization::Value> &value,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/tests/data_path_contract_test.cpp	113	\b(?:karma::)?common::serialization::Value\b	using karma::common::serialization::Value;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/common/tests/data_path_contract_test.cpp	147	\b(?:karma::)?common::serialization::Value\b	using karma::common::serialization::Value;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/input/input_system.cpp	372	\b(?:karma::)?common::serialization::Value\b	void LoadBindingSection(const karma::common::serialization::Value& section,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/karma/common/content/catalog.hpp	21	\b(?:karma::)?common::serialization::Value\b	void mergeFromJson(const karma::common::serialization::Value& assets_json, const std::filesystem::path& base_dir);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/karma/common/content/catalog.hpp	29	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value config;
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/karma/common/content/catalog.hpp	32	\b(?:karma::)?common::serialization::Value\b	void mergeLayer(const karma::common::serialization::Value& layer_json, const std::filesystem::path& base_dir);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/karma/common/content/catalog.hpp	37	\b(?:karma::)?common::serialization::Value\b	const std::optional<karma::common::serialization::Value>& world_config,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/network/auth/structured_payload.cpp	35	\b(?:karma::)?common::serialization::Value\b	karma::common::serialization::Value auth = karma::common::serialization::Object();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/network/client/auth/community_credentials.cpp	79	\b(?:karma::)?common::serialization::Value\b	std::optional<CommunityCredential> ReadCommunityCredentialEntry(const karma::common::serialization::Value& credentials,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/network/community/heartbeat.cpp	39	\b(?:karma::)?common::serialization::Value\b	void CommunityHeartbeat::configureFromConfig(const karma::common::serialization::Value& merged_config,
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	300	\b(?:karma::)?common::serialization::Value\b	static bool bindingsAreValid(const karma::common::serialization::Value* bindings) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	307	\b(?:karma::)?common::serialization::Value\b	static karma::common::serialization::Value makeFallbackBindings() {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	332	\b(?:karma::)?common::serialization::Value\b	std::optional<karma::common::serialization::Value> previous_bindings_{};
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-karma/src/scene/scene_bootstrap.cpp	23	\b(?:karma::)?common::serialization::Value\b	std::string DescribeJsonValue(const karma::common::serialization::Value* value) {
m-kconfig/include/kconfig/store.hpp	ConfigFileSpec	karma::common::config::ConfigFileSpec	m-karma/src/karma/app/shared/bootstrap_spec.hpp	19	\b(?:karma::)?common::config::ConfigFileSpec\b	std::vector<common::config::ConfigFileSpec> config_specs{};
m-kconfig/include/kconfig/store.hpp	ConfigFileSpec	karma::common::config::ConfigFileSpec	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	203	\b(?:karma::)?common::config::ConfigFileSpec\b	using karma::common::config::ConfigFileSpec;
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/client/net/world_package/apply.cpp	68	\b(?:karma::)?common::config::ConfigStore\b	static_cast<void>(karma::common::config::ConfigStore::RemoveRuntimeLayer(kRuntimeLayerLabel));
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/client/net/world_package/apply.cpp	125	\b(?:karma::)?common::config::ConfigStore\b	static_cast<void>(karma::common::config::ConfigStore::RemoveRuntimeLayer(kRuntimeLayerLabel));
