new_header	new_symbol	legacy_symbol	file	line	matched_pattern	text
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1360	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	1607	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	karma::common::data::SetDataPathSpec(karma::common::data::DataPathSpec{
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataPathSpec	SetDataPathSpec	m-karma/src/app/shared/bootstrap_spec.cpp	17	\b(?:karma::)?common::data::SetDataPathSpec\s*\(	common::data::SetDataPathSpec(data_spec);
m-kconfig/include/kconfig/data/path_resolver.hpp	SetDataRootOverride	SetDataRootOverride	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	221	\bSetDataRootOverride\s*\(	SetDataRootOverride(expected_data_root);
m-kconfig/include/kconfig/data/path_resolver.hpp	SetUserConfigRootOverride	SetUserConfigRootOverride	m-karma/src/common/tests/data_path_contract_test.cpp	75	\b(?:karma::)?common::data::SetUserConfigRootOverride\s*\(	karma::common::data::SetUserConfigRootOverride(input);
m-kconfig/include/kconfig/data/path_resolver.hpp	SetUserConfigRootOverride	SetUserConfigRootOverride	m-karma/src/common/tests/data_path_contract_test.cpp	98	\b(?:karma::)?common::data::SetUserConfigRootOverride\s*\(	karma::common::data::SetUserConfigRootOverride(input);
m-kconfig/include/kconfig/data/path_resolver.hpp	UserConfigDirectory	UserConfigDirectory	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	312	\b(?:karma::)?common::data::UserConfigDirectory\s*\(	"const auto configDir = karma::common::data::UserConfigDirectory() / ""server"" / ""instances"";"
m-kconfig/include/kconfig/data/path_resolver.hpp	UserConfigDirectory	UserConfigDirectory	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	1062	\b(?:karma::)?common::data::UserConfigDirectory\s*\(	"const auto configDir = karma::common::data::UserConfigDirectory() / ""server"" / ""instances"";"
m-kconfig/include/kconfig/data/path_resolver.hpp	UserConfigDirectory	UserConfigDirectory	m-karma/src/common/tests/data_path_contract_test.cpp	77	\b(?:karma::)?common::data::UserConfigDirectory\s*\(	const std::filesystem::path resolved = karma::common::data::UserConfigDirectory();
m-kconfig/include/kconfig/data/path_resolver.hpp	UserConfigDirectory	UserConfigDirectory	m-karma/src/common/tests/data_path_contract_test.cpp	100	\b(?:karma::)?common::data::UserConfigDirectory\s*\(	const std::filesystem::path resolved = karma::common::data::UserConfigDirectory();
